# index, _pos
159,"[-0.72638126, 10.13662953]"
160,"[-0.71477795, 10.14383105]"
161,"[-0.70726714, 10.15376808]"
162,"[-0.61363286, 10.02864007]"
163,"[-0.54611847, 10.15888633]"
164,"[-0.66092896, 9.91872638]"
165,"[-0.69801687, 10.12846609]"
166,"[-0.55312633, 9.90060964]"
167,"[-0.79038146, 10.00150298]"
168,"[-0.60321801, 10.05783165]"
169,"[-0.63588071, 9.9089004]"
170,"[-0.72552657, 10.08121748]"
171,"[-0.83886804, 9.9676792]"
172,"[-0.62976292, 9.88449065]"
173,"[-0.60263242, 9.88789112]"
174,"[-0.71791078, 9.9096699]"
175,"[-0.68188943, 9.89500567]"
176,"[-0.77007663, 10.04174973]"
177,"[-0.635357, 9.99436183]"
178,"[-0.77780707, 9.97287969]"
179,"[-0.66369628, 10.13249374]"
180,"[-0.66670857, 10.1783026]"
181,"[-0.62328166, 10.15623554]"
182,"[-0.63406894, 10.04577512]"
183,"[-0.50598933, 10.13614001]"
184,"[-0.57920677, 10.09588138]"
185,"[-0.60233472, 10.10339696]"
186,"[-0.53016772, 10.07860583]"
187,"[-0.61482273, 9.90832535]"
188,"[-0.60503816, 10.09377707]"
189,"[-0.54624894, 10.06141205]"
190,"[-0.57344399, 10.04074467]"
191,"[-0.6042245, 9.94975145]"
192,"[-0.51250426, 10.07054602]"
193,"[-0.59665788, 10.0398654]"
194,"[-0.56102109, 10.04662577]"
195,"[-0.56460516, 9.96862501]"
196,"[-0.57015989, 10.02717907]"
197,"[-0.62748338, 9.97419224]"
198,"[-0.56840969, 9.98090458]"
199,"[-0.70710709, 10.11311511]"
200,"[-0.74751339, 10.04969304]"
201,"[-0.70067166, 10.04208569]"
202,"[-0.71931721, 9.92234618]"
203,"[-0.49962556, 9.91736151]"
204,"[-0.67836984, 9.96531505]"
205,"[-0.59092243, 10.05964723]"
206,"[-0.64315226, 9.87965527]"
207,"[-0.5356862, 10.01433516]"
208,"[-0.64361168, 10.03193278]"
