# source, target, migration_1990_total, migration_1990_male, migration_1990_female, migration_1995_total, migration_1995_male, migration_1995_female, migration_2000_total, migration_2000_male, migration_2000_female, migration_2005_total, migration_2005_male, migration_2005_female, migration_2010_total, migration_2010_male, migration_2010_female, migration_2015_total, migration_2015_male, migration_2015_female
1,118,315,209,106,266,171,95,223,139,84,244,169,75,267,185,82,301,208,93
1,191,78,34,44,63,28,35,68,30,38,81,35,46,129,54,75,164,69,95
1,161,421,209,212,440,219,221,582,286,296,340,169,171,114,55,59,116,56,60
1,55,69,41,28,98,57,41,126,72,54,185,105,80,296,170,126,309,179,130
1,211,801,426,375,1939,993,946,3086,1563,1523,3180,1576,1604,3276,1586,1690,3325,1571,1754
1,31,103,54,49,316,165,151,528,276,252,824,440,384,1086,586,500,1134,604,530
1,56,44,28,16,66,42,24,88,56,32,184,123,61,264,182,82,314,216,98
1,95,96,34,62,113,49,64,129,63,66,159,79,80,189,95,94,226,126,100
1,162,82,51,31,70,43,27,60,36,24,94,73,21,131,111,20,125,106,19
1,169,591,264,327,632,303,329,639,302,337,690,310,380,707,344,363,130,101,29
1,170,1026,503,523,988,527,461,915,532,383,578,337,241,230,136,94,234,137,97
1,187,6,4,2,29,25,4,60,51,9,68,58,10,76,65,11,93,79,14
1,59,5,3,2,45,19,26,84,35,49,173,77,96,261,119,142,321,144,177
1,73,0,0,0,17,11,6,34,22,12,114,94,20,193,165,28,382,291,91
1,96,10,3,7,15,5,10,20,7,13,30,13,17,40,19,21,41,19,22
1,101,57,34,23,158,91,67,346,204,142,347,213,134,291,171,120,297,173,124
1,114,4,2,2,6,3,3,8,4,4,7,4,3,7,5,2,5,4,1
1,153,21,13,8,81,42,39,149,81,68,276,157,119,438,228,210,972,565,407
1,199,293,160,133,348,189,159,374,202,172,691,383,308,1281,739,542,2161,1237,924
1,218,156,91,65,1181,748,433,2227,1417,810,7351,4654,2697,13075,8296,4779,14688,9247,5441
1,52,0,0,0,83,41,42,157,78,79,165,77,88,172,76,96,173,76,97
1,83,63963,42970,20993,230218,138742,91476,400253,235135,165118,423598,236038,187560,446942,236941,210001,437356,223374,213982
1,104,44935,31662,13273,159672,88919,70753,274408,146176,128232,360959,190016,170943,447510,233856,213654,447586,230073,217513
1,127,16,6,10,19,7,12,48,19,29,76,28,48,72,31,41,90,41,49
1,137,0,0,0,0,0,0,0,0,0,0,0,0,2015,829,1186,2754,1143,1611
1,163,11,7,4,24,15,9,40,25,15,45,26,19,44,24,20,49,25,24
1,178,27,6,21,28,5,23,31,5,26,30,7,23,30,8,22,31,12,19
1,182,57,13,44,364,77,287,495,96,399,489,91,398,478,88,390,467,85,382
1,188,15,10,5,51,34,17,89,58,31,46,19,27,104,51,53,152,84,68
1,193,162,83,79,359,190,169,712,383,329,1094,616,478,1807,1044,763,1938,1050,888
1,204,45001,18759,26242,58009,24182,33827,69367,28917,40450,69782,29077,40705,70230,28250,41980,67799,27915,39884
1,12,1733,863,870,1955,989,966,2177,1116,1061,2434,1219,1215,2690,1322,1368,3147,1556,1591
1,19,1363,696,667,1354,690,664,1306,667,639,2078,1073,1005,3874,1974,1900,7517,3971,3546
