# index, _pos
159,"[-14.56214156, 14.29032484]"
160,"[-14.67254919, 14.32446154]"
161,"[-14.80368421, 14.29951244]"
162,"[-14.71099381, 14.20302889]"
163,"[-14.84724166, 14.26258924]"
164,"[-14.71584567, 14.31744506]"
165,"[-14.84197042, 14.40702381]"
166,"[-14.88712574, 14.35118696]"
167,"[-14.70503547, 14.1501951]"
168,"[-14.73618582, 14.25493703]"
169,"[-14.47869797, 14.44208984]"
170,"[-14.49770963, 14.5584744]"
171,"[-14.81158922, 14.35859756]"
172,"[-14.53398738, 14.29997743]"
173,"[-14.55419492, 14.11722303]"
174,"[-14.54893564, 14.09055285]"
175,"[-14.55517141, 13.97299752]"
176,"[-14.4910092, 14.20368039]"
177,"[-14.70087663, 14.04526072]"
178,"[-14.62723862, 14.31553898]"
179,"[-14.88884935, 14.50803795]"
180,"[-14.87392315, 14.25623203]"
181,"[-14.67368642, 14.40256573]"
182,"[-14.59758535, 14.08122932]"
183,"[-14.61371989, 14.21241409]"
184,"[-14.75064086, 14.1441325]"
185,"[-14.86315839, 14.20039674]"
186,"[-14.86756492, 14.06923688]"
187,"[-14.85979211, 14.33528493]"
188,"[-14.67708679, 14.27141638]"
189,"[-14.59373759, 14.36206557]"
190,"[-14.75908209, 14.04815237]"
191,"[-14.8900488, 14.12040866]"
192,"[-14.6767481, 14.03916848]"
193,"[-14.82565819, 14.10763646]"
194,"[-14.96485344, 14.14874319]"
195,"[-14.66499927, 14.24993315]"
196,"[-14.70321777, 14.17904532]"
197,"[-14.73605147, 14.31187314]"
198,"[-14.57643343, 14.2203697]"
199,"[-14.60345698, 14.42079004]"
200,"[-14.65492048, 14.52447379]"
201,"[-14.80006138, 14.11321237]"
202,"[-14.59804499, 13.9534379]"
203,"[-14.73513824, 14.29097072]"
204,"[-14.46610021, 14.16415353]"
205,"[-14.77086196, 14.18199501]"
206,"[-14.77241461, 14.2079558]"
207,"[-14.94777592, 14.3650823]"
208,"[-14.87601513, 14.40855905]"
209,"[-14.87960755, 14.63626357]"
210,"[-14.78135125, 14.05991206]"
211,"[-14.72688843, 14.14084194]"
212,"[-14.69678261, 14.0017273]"
213,"[-14.6463498, 14.317381]"
214,"[-14.85283771, 14.12470926]"
215,"[-14.71280964, 14.07245967]"
216,"[-14.6781425, 14.2303104]"
217,"[-14.55275572, 14.21419741]"
218,"[-14.66597023, 14.43132053]"
219,"[-14.64341982, 14.38590852]"
220,"[-14.69580204, 14.41306111]"
221,"[-14.89497013, 14.22561858]"
222,"[-14.82477871, 14.15781924]"
223,"[-14.74652534, 14.1698274]"
224,"[-14.91622627, 14.28620346]"
225,"[-14.75118524, 14.21699184]"
226,"[-14.8345456, 14.0779772]"
227,"[-14.76436971, 14.11686234]"
228,"[-14.82137557, 14.27849083]"
229,"[-14.46599704, 14.25523939]"
230,"[-14.39409092, 14.30132259]"
231,"[-14.72701015, 14.34776118]"
232,"[-14.74815411, 14.23944323]"
233,"[-14.77736557, 14.35170633]"
234,"[-14.75168296, 14.41274029]"
235,"[-14.90456414, 14.26356448]"
236,"[-15.00713892, 14.17809108]"
237,"[-14.85919448, 14.0975764]"
238,"[-14.61992388, 14.39300787]"
239,"[-14.7575956, 14.26013803]"
240,"[-14.5227022, 14.0976517]"
241,"[-14.74056537, 14.11713713]"
242,"[-14.72196565, 14.0197001]"
243,"[-14.62435061, 14.12318111]"
244,"[-14.81310613, 14.18834285]"
245,"[-14.69315326, 14.0906367]"
246,"[-14.81366786, 14.02131559]"
247,"[-14.85869844, 14.38340977]"
248,"[-14.63178226, 14.26867939]"
249,"[-14.76847051, 14.15959744]"
250,"[-14.60892863, 14.2715735]"
251,"[-14.69879107, 14.28055512]"
252,"[-14.54584977, 14.14609141]"
253,"[-14.42298288, 14.03412835]"
254,"[-14.43543502, 14.26905495]"
255,"[-14.48918841, 14.03349512]"
256,"[-14.84882441, 14.1473766]"
257,"[-14.51389929, 14.18408382]"
258,"[-14.43374789, 14.33091929]"
259,"[-14.65399803, 14.27410337]"
260,"[-14.7344827, 14.36840631]"
261,"[-14.62649135, 14.42677937]"
262,"[-14.58544819, 14.39559933]"
263,"[-14.56562779, 14.17163835]"
264,"[-14.60664677, 14.31080851]"
265,"[-14.59576743, 14.17497443]"
266,"[-14.428016, 14.47243556]"
267,"[-14.47538405, 14.37857009]"
268,"[-14.45057034, 14.41053927]"
269,"[-14.87844201, 14.17381902]"
270,"[-15.04090532, 14.2057139]"
271,"[-14.64298213, 14.1363383]"
272,"[-14.98717827, 14.30209394]"
273,"[-14.91596862, 14.35688011]"
274,"[-14.77724713, 14.09290928]"
275,"[-14.62889736, 14.06561305]"
276,"[-14.76920705, 14.01936127]"
277,"[-14.66639136, 14.0841699]"
278,"[-14.75891639, 14.30104139]"
279,"[-14.93434025, 14.26435402]"
280,"[-14.57233458, 14.06773156]"
281,"[-14.85067214, 14.17569995]"
282,"[-14.56295227, 14.23875387]"
283,"[-14.59935449, 14.48466293]"
284,"[-14.7827193, 14.37225321]"
285,"[-14.7511839, 14.19476892]"
286,"[-14.95077071, 14.29502751]"
287,"[-14.87483363, 14.14795038]"
288,"[-14.93674415, 14.42111102]"
289,"[-14.6173851, 14.1815864]"
290,"[-14.68760149, 14.34666607]"
291,"[-14.85826033, 14.2860604]"
292,"[-14.57822761, 14.10303498]"
293,"[-14.63190539, 14.28844094]"
294,"[-14.34880131, 14.15213054]"
295,"[-14.6644999, 14.35138053]"
296,"[-14.6841622, 14.12900694]"
297,"[-14.77983404, 14.13583486]"
298,"[-14.85247331, 14.04547455]"
299,"[-14.42691499, 14.37103042]"
300,"[-14.48191066, 14.32248612]"
301,"[-14.58680978, 14.24776217]"
302,"[-14.56207986, 14.26305123]"
303,"[-14.85663456, 14.30962259]"
304,"[-14.72814901, 14.05170142]"
305,"[-14.46730342, 14.13022772]"
306,"[-14.57102756, 14.19470617]"
307,"[-14.72934395, 14.40484339]"
308,"[-14.51674928, 14.32077951]"
309,"[-14.92660457, 14.1363964]"
310,"[-14.98937827, 14.4525787]"
311,"[-14.59193068, 14.62299923]"
312,"[-14.7119849, 14.49943483]"
313,"[-14.96016808, 14.3950261]"
314,"[-15.13967265, 14.2039472]"
315,"[-15.10991244, 14.13709555]"
316,"[-14.82809647, 14.32368504]"
317,"[-14.98886966, 14.23761565]"
318,"[-14.64561789, 14.45140113]"
319,"[-14.9798811, 14.3585243]"
320,"[-14.90773888, 14.31782222]"
321,"[-14.54747175, 14.32460102]"
322,"[-14.48288262, 14.28314387]"
323,"[-14.69490087, 14.47505877]"
324,"[-14.64661425, 14.33901958]"
325,"[-14.67180205, 14.17906955]"
326,"[-14.6629437, 14.15957496]"
327,"[-14.75378768, 13.97181179]"
328,"[-14.39231952, 14.11253657]"
329,"[-14.74004102, 14.09596245]"
330,"[-14.60175319, 13.98903191]"
331,"[-14.51203098, 13.98518471]"
332,"[-14.42404235, 14.21070868]"
333,"[-14.81343476, 14.05633435]"
334,"[-14.50016901, 14.11735589]"
335,"[-14.47343915, 14.06691302]"
336,"[-14.64397356, 13.95948503]"
337,"[-14.78966224, 13.98711725]"
338,"[-14.50948459, 14.15536105]"
339,"[-14.44925656, 14.30221916]"
340,"[-14.53376141, 14.05920705]"
341,"[-14.82612702, 14.42214203]"
342,"[-14.47588836, 14.3484384]"
343,"[-14.92253078, 14.45664025]"
344,"[-14.6440539, 14.67535742]"
345,"[-14.41804071, 14.24430622]"
346,"[-14.24121839, 14.25618054]"
347,"[-14.89794203, 14.07754164]"
348,"[-14.59040276, 14.03159988]"
349,"[-14.91674861, 14.23376825]"
350,"[-14.51049917, 14.34860352]"
351,"[-14.77153599, 14.51314818]"
352,"[-14.8582378, 14.35964952]"
353,"[-14.90589632, 14.42063612]"
354,"[-14.97334303, 14.27007953]"
355,"[-14.58338697, 14.51823897]"
356,"[-14.89059728, 14.45184202]"
357,"[-14.38717913, 14.18190187]"
358,"[-14.62372415, 14.51160613]"
359,"[-14.40357225, 14.4182054]"
360,"[-14.54548559, 14.40609487]"
361,"[-14.2756807, 14.18539467]"
362,"[-14.34722736, 14.37879443]"
363,"[-14.98489192, 14.08539501]"
364,"[-14.78032379, 13.86057655]"
365,"[-14.75147287, 14.44283318]"
366,"[-14.67217368, 13.84729447]"
367,"[-15.02381537, 14.12756008]"
368,"[-15.10469293, 14.34049021]"
369,"[-14.95545625, 14.00379096]"
370,"[-15.05138506, 14.38728181]"
371,"[-14.92160809, 14.56159677]"
